Quand utilisez-vous l'imparfait?|Il y a quatre moments principaux où on utilise l’imparfait:\\~\\(i)~pour une action dans la passé qui est habituelle ou répétée, (ii)~pour faire une déscription dans le passé, (iii)~pour les verbes d'état dans le passé (avoir, être, vouloir, savoir, pouvoir, etc.), (iv)~pour décrire l'heure et le temps dans le passé.
I was speaking French.|Je parlais fran\c cais.
I used to walk on the beach.|Je me promenais sur la plage.
I would go to the beach every day when I was young.|J'allais à la plage tous les jours quand j'étais jeune.
I used to go to the University of Montreal.|J'allais à l'université de Montréal.
They were finishing the project.|Ils finissaient le projet.
John was speaking with Natalie.|John parlait à Natalie.
You were going out with Lindsey.|Tu sortais avec Lindsey.
Claire was eating all the cake!|Claire mangeait tout le gâteau!
I was saying to myself that ...|Je me disais que ...
