je (parler) (présent)|je parle
tu (parler) (présent)|tu parles
il (parler) (présent)|il parle
nous (parler) (présent)|nous parlons
vous (parler) (présent)|vous parlez
elles (parler) (présent)|elles parlent
je (finir) (présent)|je finis
tu (finir) (présent)|tu finis
elle (finir) (présent)|elle finit
nous (finir) (présent)|nous finissons
vous (finir) (présent)|vous finissez
ils (finir) (présent)|ils finissent
je (attendre) (présent)|j'attends
tu (attendre) (présent)|tu attends
on (attendre) (présent)|on attend
nous (attendre) (présent)|nous attendons
vous (attendre) (présent)|vous attendez
ils (attendre) (présent)|ils attendent
je (être) (présent)|je suis
tu (être) (présent)|tu es
il (être) (présent)|il est
nous (être) (présent)|nous sommes
vous (être) (présent)|vous êtes
elles (être) (présent)|elles sont
je (aller) (présent)|je vais
tu (aller) (présent)|tu vas
elle (aller) (présent)|elle va
nous (aller) (présent)|nous allons
vous (aller) (présent)|vous allez
ils (aller) (présent)|ils vont
je (avoir) (présent)|j'ai
tu (avoir) (présent)|tu as
il (avoir) (présent)|il a
nous (avoir) (présent)|nous avons
vous (avoir) (présent)|vous avez
ils (avoir) (présent)|ils ont
je (faire) (présent)|je fais
tu (faire) (présent)|tu fais
on (faire) (présent)|on fait
nous (faire) (présent)|nous faisons
vous (faire) (présent)|vous faites
elles (faire) (présent)|elles font
je (partir) (présent)|je pars
tu (partir) (présent)|tu pars
il (partir) (présent)|il part
nous (partir) (présent)|nous partons
ils (partir) (présent)|ils partent
je (sortir) (présent)|je sors
tu (sortir) (présent)|tu sors
elle (sortir) (présent)|elle sort
nous (sortir) (présent)|nous sortons
vous (sortir) (présent)|vous sortez
ils (sortir) (présent)|ils sortent
je (prendre) (présent)|je prends
tu (prendre) (présent)|tu prends
on (prendre) (présent)|on prend
nous (prendre) (présent)|nous prenons
vous (prendre) (présent)|vous prenez
ils (prendre) (présent)|ils prennent
je (dire) (présent)|je dis
tu (dire) (présent)|tu dis
elle (dire) (présent)|elle dit
nous (dire) (présent)|nous disons
vous (dire) (présent)|vous dites
elles (dire) (présent)|elles disent
je (écrire) (présent)|j'écris
tu (écrire) (présent)|tu écris
il (écrire) (présent)|il écrit
nous (écrire) (présent)|nous écrivons
vous (écrire) (présent)|vous écrivez
ils (écrire) (présent)|ils écrivent
je (lire) (présent)|je lis
tu (lire) (présent)|tu lis
elle (lire) (présent)|elle lit
nous (lire) (présent)|nous lisons
vous (lire) (présent)|vous lisez
ils (lire) (présent)|ils lisent
je (mettre) (présent)|je mets
tu (mettre) (présent)|tu mets
on (mettre) (présent)|on met
nous (mettre) (présent)|nous mettons
vous (mettre) (présent)|vous mettez
elles (mettre) (présent)|elles mettent
je (croire) (présent)|je crois
tu (croire) (présent)|tu crois
elle (croire) (présent)|elle croit
nous (croire) (présent)|nous croyons
vous (croire) (présent)|vous croyez
ils (croire) (présent)|ils croient
je (voir) (présent)|je vois
tu (voir) (présent)|tu vois
il (voir) (présent)|il voit
nous (voir) (présent)|nous voyons
vous (voir) (présent)|vous voyez
elles (voir) (présent)|elles voient
je (boire) (présent)|je bois
tu (boire) (présent)|tu bois
il (boire) (présent)|il boit
nous (boire) (présent)|nous buvons
vous (boire) (présent)|vous buvez
ils (boire) (présent)|ils boivent
je (devoir) (présent)|je dois
tu (devoir) (présent)|tu dois
il (devoir) (présent)|il doit
nous (devoir) (présent)|nous devons
vous (devoir) (présent)|vous devez
elles (devoir) (présent)|elles doivent
je (recevoir) (présent)|je reçois
tu (recevoir) (présent)|tu reçois
on (recevoir) (présent)|on reçoit
nous (recevoir) (présent)|nous recevons
vous (recevoir) (présent)|vous recevez
ils (recevoir) (présent)|ils reçoivent
je (manger) (présent)|je mange
tu (manger) (présent)|tu manges
elle (manger) (présent)|elle mange
nous (manger) (présent)|nous mangeons
vous (manger) (présent)|vous mangez
ils (manger) (présent)|ils mangent
je (nager) (présent)|je nage
tu (nager) (présent)|tu nages
on (nager) (présent)|on nage
