I am going to brush my teeth.|Je vais me brosser les dents.
Tomorrow she is going to visit her grandmother.|Demain elle va visiter sa grand-mère.
They are going to the movies next week.|Ils vont au cinéma la semaine prochaine.
I am going to speak French.|Je vais parler français.
We are going to listen to the radio.|Nous allons écouter la radio.\\~\\On va écouter la radio.
You're going to listen to music?|Est-ce que tu vas écoute de la musique?
Are you going to go to the market tomorrow?|Est-ce que tu vas aller au marché demain?\\~\\Est-ce que vous allez aller au marché demain?
I am going to have a shower.|Je vais me doucher.
This evening I am going to go to bed at ten o'clock.|Ce soir je vais me coucher à vingt-deux heures.
Tomorrow I am going to wake up at nine o'clock.|Demain je vais me lever à neuf heures.
Tomorrow I am going to brush my teeth at ten o'clock.|Demain je vais me brosser les dents à dix heures.
I am not going to sing.|Je ne vais pas chanter.
We are not going to walk.|Nous n'allons pas marcher.
You're not going to have something to drink?|Tu ne vas pas boire quelque chose?
She is not going to sing the song.|Elle ne va pas chanter la chanson.
We are not going to visit Paris this year.|Nous n'allons pas visiter Paris cette année.
You're not going to make any mistakes.|Tu ne vas pas faire de fautes.
I'm not going to make a mistake.|Je ne vais pas me tromper.
I am not going to get soaked this evening.|Je ne vais pas me tremper ce soir.
I am not going to eat in the restaurant this evening.|Je ne vais pas manger au restaurant ce soir.
You're really going to like ...|Tu vas bien aimer ...
