You're welcome.|De rein.\\ou\\Je t'en prie.\\ou\\Il n'y a pas de quoi.
My pleasure.|Avec plaisir.
No problem.|Pas de problèm.\\ou\\Aucun problème.
Nice to meet you.|Enchanté(e).
See you soon.|À bientôt.
Goodbye.|Au revoir.
What is your name? (inf.)|Comment t'appeles-tu ?\\ou\\Comment tu t'appeles ?
What is your name? (form.)|Comment vous appelez-vous ?\\ou\\Quel est votre nom ?
I am from \dots|Je viens de \dots\\ou\\Je suis de \dots
Where are you from? (inf.)|Tu viens d'où ?\\ou\\D'où est-ce que tu viens ?\\ou\\D'où viens-tu ?
Where are you from? (form.)|Vous venez d'où ?\\ou\\D'où est-ce que vous venez ?\\ou\\D'où venez-vous ?
Where do you live? (inf.)|Où habites-tu ?\\ou\\Où est-ce que tu habites ?\\ou\\Tu habites où ?
Where do you live? (form.)|Où habitez-vous ?\\ou\\Où est-ce que vous habitez ?\\ou\\Vous habitez où ?
What is the date today?|Quel est la date aujourd'hui ?
What is the weather today?|Quel temps fait-il aujourd'hui ?
How do you say \dots\ in French?| Comment dit-on \dots\ en fran\c cais?
Do you speak English?|Parlez-vous anglais?
I speak a little bit of French.|Je parle un peu fran\c cais.
How much does it cost?|Combien \c ca coûte?
I would like \dots|Je voudrais \dots\\ou\\J'aimrais \dots
Can I have have \dots ?|Je pourrais avoir \dots?\\ou\\Puis-je avoir \dots?
What is your job?|Quel est votre travail?
I work as \dots|Je travail comme \dots
How are you? (form)|Comment allez-vous?
How are you? (fam)|Comment vas-tu?
How's it going?|Comment \c ca vas?
I'm fine, thank you.|Je vais bien, merci.
He isn't doing well.|Il ne va pas bien.
What's new?|Quoi de neuf?
I'm sorry.|Je suis désolé(e).\\ou\\Je m'excuse.
Excuse me./Pardon me.|Excusez-moi.\\ou\\Pardonnez-moi.
I'm lost.|Je suis perdu(e).
I don't know.|Je ne sais pas.
I understand.|Je comprends.
I don't understand.|Je ne comprends pas.
Where is \dots ?/Where are \dots ?|Où est \dots ?/Où sont \dots ?
Can you help me?|Pouvez-vous m'aider?
What time is it?|Quelle heure est-il?
What day is it today?|Quel jour sommes-nous?
On the photo, I see \dots|Sur la photo je vois \dots
On the photo I can distinguish|Sur la photo je peux distinguer
There are no people on the photo.|Il n'y a personne sur la photo.
on the forefront|à l'avant plan
in the background|à l'arrière-plan
the title says \dots|le titre dit \dots
I can look at this title in the context of \dots\ and more specifically \dots|Je peux considérer ce titre dans le domaine de \dots\ et plus spécifiquement \dots
I do not think that this person is \dots\ I think she is \dots|Je ne pense pas que cette personne soit \dots\ Je pense qu'elle est \dots
What is interesting on this picture is that \dots|Ce qui est intéressant sur cette photo c'est que \dots
What I find interesting is \dots|Ce que je trouve intéressant c'est que \dots
I agree that \dots|Je suis d'accord que \dots
I disagree with this.|Je ne suis pas d'accord avec ce concept.
on the right|sur la droite, à droite
on the left|sur la gauche, à gauche
the general topic of this photo is|le sujet/le thème de cette photo est
he appears furious/upset|Il semble faché, très fâché, furieux
This is a topic that I find interesting because \dots|Ce sujet m'intéresse beaucoup car \dots
I cannot really relate to this character because \dots|Je ne peux pas vraiment me mettre à sa place parce que \dots
It's unacceptable|C'est inadmissible!
It's horrible|C'est terrible
It's a shame/a pity|C'est dommage!
Too bad|Tant pis
It's a good thing|C'est une bonne chose!
I do not think it is a good thing!|Je ne pense pas que ce soit une bonne chose
There are solutions to this problem|Il existe des solutions pour résoudre ce problème!
It is necessary that we react!|Il faut/il est crucial/il est nécessaire que nous réagissions!
I do not think it is serious|Je ne pense pas que ce soit grave
That's a topic that needs to be addressed!|C'est un sujet dont il faut absolument discuter!
I took dance classes for (a duration of) two years.|J’ai pris des cours de danse pendant deux ans.
I’ll be in Paris for two months, and then I’ll go back to Nice.|Je suis à Paris pour deux mois, puis je repartirai à Nice.
I’ll have the project completed for/by the fifth of January.|Je terminerai le projet pour le 5 janvier.
I’ll see you at John’s place later, right?|Je te verrai plus tard chez John, non?
I am in [masculine country].|Je suis au [le nom de pays].\\~\\Par exemple : je suis au Maroc.
I am in [feminine country].|Je suis en [le nom de pays].\\~\\Par exemple : je suis en France.
I’m going from Lyon to Bordeaux.|Je vais de Lyon à Bordeaux.
We are the same age.|On a le même âge.
I know Montreal well.|Je connais bien Montréal.
I washed my hair yesterday.|Je me suis lavé la tête hier.
It was a long time ago.|C'était il y a bien longtemps.
Make yourself at home!|Fais comme chez toi!
You shouldn't have!|Tu n'aurais pas dû!
I take the bus to work.|Je vais au travail en bus.
I need to change my shirt.|Je dois changer de chemise.
She changed her hairstyle.|Elle a changé de coupe de cheveux.
We need to change the tires on the car.|Nous devons changer les pneus de la voiture.
They changed the itinerary of their trip.|Ils ont changé l'itinéraire de leur voyage.
You need to change your password for security.|Vois devez changer votre mot de passe pour plus de sécurité.
I'm watching TV.|Je regarge la télévision.
She is looking out the window.|Elle regarde par la fenêtre.
We are watching a movie tonight.|Nous regardons un film ce soir.
They are looking for their cell phones.|Ils regardent leurs téléphones portables.
The cat is watching the birds in the sky.|Le chat regarde les oiseaux dans le ciel.
Today is a beautiful sunny day.|Aujourd'hui, c'est une belle journée ensoleillée.
I love days when I have nothing planned.|J'adore les journées où je n'ai rien de prévu.
My day has been very productive.|Me journée a été très productive.
Summer days are my favourite.|Les journées d'été sone mes préférées.
Tomorrow is World Environment Day.|Demain, c'est la journée mondiale de l'environnement.
I've just woken up.|Je viens de me réveiller.
I've just arrived.|Je viens d'arriver.
I've just left.|Je viens de partir.
I've just finished my book.|Je viens de finir mon livre.
He always wants more.|Il en veut toujours plus.\\~\\\small NB : S'il a un «~sens positif~», on va prononcer le «~s~» dans «~plus~».
Paul has finished his drink, he doesn't want any more.|Paul a fini son verre, il n'en veut plus.\\~\\\small NB : S'il a un «~sens négatif~», on ne prononce pas le «~s~» dans «~plus~».
I don't see the point.|Je (ne) vois pas l'interêt.
What good is that?|\c Ca sert à quoi?
What's the point?|À quoi bon?
To do what?|Pour faire quoi?
I'm sorry but I don't agree.|Je suis désolé mais je (ne) suis pas d'accord.
That bothers me a bit.|Ca me dérange un peu.
That's not a good idea.|C'est pas une bonne idée.
Maybe we can do something else.|Peut-être qu'on peut faire autre chose.
J'ai adoré ce film!\\Quelle est la réponse positive ?|Moi aussi.
J'ai adoré ce film!\\Quelle est la réponse négative ?|Moi non.
J'ai pas aimé l'acteur principal.\\Quelle est la réponse positive ?|Moi si.
J'ai pas aimé l'acteur principal.\\Quelle est la réponse négative ?|Moi non plus.
You can't turn here!|Tu ne peux pas tourner ici!
I'll keep you updated.|Je vous tendrai informé. (formal)\\Je vois donnerai des nouvelles. (formal)\\Je te tiens au courant. (common)\\Je te tiens au jus. (informal)
I'm going to the supermarket.|Je vais au supermarché.
You're going to the swimming pool.|Tu vas à la piscine.\\ou\\Vous allez à la piscine.
She's going to the horse races.|Elle va aux courses de chevaux.
I am coming from the supermarket.|Je viens du supermarché.
We came from the swimming pool.|Nous venons de la piscine.
I come to the swimming pool often.|Je viens à la piscine souvent
They never come to the arcade with us.|Ils ne viennent jamais à l'arcade avec nous.
I have to go home soon.|Je dois rentrer chez moi bientôt.
They're coming back to Belgium.|Ils reviennent en Belgique.
They're coming back from Canada.|Ils reviennent du Canada.
I'm coming back soon.|Je reviens bientôt.
I come back from Paris.|Je rentre de Paris.
I was wondering \dots.|Je me demandais \dots.
I was wondering if there was a pharmacy open on Sunday.|Je me demandais s'il y avait une pharmacie ouverte le dimanche.
It's twenty minutes on foot and five minutes by car.|C'est à vingt minutes à pied et cinq minutes en voiture.
N'est-ce pas?|Don't you? / Isn't that right?\\~\\Comme << vous avez une voiture, n'est-ce pas? >>
And\dots where is the office again?|Et\dots ou se trouve le bureau déjà?
Il est quelle heure là?|It is what time now?
It takes you five minutes to walk.|Vous en avez pour cinq minutes à pied.\\~\\Il vous faut cinq minutes pour marcher.
Let's go.|Allons-y.
Let's go to the cinema.|Allons au cinéma.
Je suis en forme.|I am well.
J'ai la peche.|I am feeling great (peachy).
Today is going to be a beautiful day.|Aujourd'hui (\c ca) va \^ etre une belle journée.
I live in an old house.|J'habite dans une vieille maison.
Thank you for correcting me.|Merci pour me corriger.
Awh, he is so cute!|Ah, il est si chou!
Elle est chou(te) dans son chapeau.|She looks so sweet in her hat.
I try to maintain an ounce of self-esteem.|J'essaie de préserver une once d'amour-propre.
Is that everything?/That's everything?|C'est tout?
That will be everything?|\c Ca sera tout?
Am I able to buy some eggs?|Est-ce que je peux acheter des oeufs?
In my opinion ...|Selon moi ...\\~\\À mon avis ...
They had always claimed that \dots|Ils avaient toujours affirmé \dots.
Jamais quiconque ...|No one ever ...
No one ever ...|Jamais personnne ...\\~\\Jamais quiconque ...
En principe...|In principle..., Basically...
We've been told ...|On nous a dit que ...
Max told me to tell you that you're a genius!|Max me dit de te dire que t'es un génie!
I don't know, something crazy!|Je ne sais pas, quelque chose de fou!
I bet no one has ever dared to do that here.|Je parie que personne a jamais osé faire \c ca ici.
I admit that you've succeeded to ...|J'avoue que tu as réussi à ...
I'm delighted to meet you.|Je suis ravi de vous rencontrer.
Have fun!\\~\\Enjoy yourself!|Amuse-toi bien!
The scientist must be mad to try such experiments.|Le scientifique doit être dingue pour tenter de telles expériences.
His ideas are always crazy; he is a nut!|Ses idées sont toujours folles; c'est un dingue !
It's a crazy thing!|C'est un truc de dingue!
Oh, is that what you were doing?|Oh, c'est ça que tu faisais?
Show me.|Montre-moi.
I know what I saw.|Je sais ce que j'ai vu.
Be honest with me.|Sois honnête avec moi.\\Soyez franc avec moi.\\Soyez honnêtes avec moi.
Sit down.|Assieds-toi.
The world isn't blank or black, there are shades of gray.|Le monde n'est pas blanc ou noir, il y a des nuances de gris.
You are exhausting.|Vous êtes épuisant(e)(s).\\Vous êtes éreintant(e)(s).
Wish me luck!|Souhaite-moi bonne chance!
How tragic.|Quelle tragédie.
If he breaks your heart, I'll kill him.|S'il te brise le coeur, je le tue.
It takes me out of my comfort zone.|Ça me fait sortir de ma zone de confort.
We're making good progress.\\~\\It's coming along very well.|Ça avance très bien.
Avoid going there.|Évite d'y aller.
Thank you for that clarification.|Merci pour cette mise au point.\\Merci pour cette précision.
There's only one way to find out.|Il n'y a qu'un (seul) moyen/fa\c con de le savoir.
I'm not a big fan of this place.|Je suis pas hyper fan de cet endroit-là.
Get out of here!|Sors d'ici!
Be careful what you wish for.|(Faites) attention à ce que vous souhaitez.
I'm glad I came.|Je suis content d'être venu.
Then enlighten me.\\So, please, enlighten me.|Alors, éclaire-moi.
I'll be right back.|Je reviens tout de suite.
Do me a favor.|Rends-moi service.
Come on, hurry up.|Allez, dépêchez-vous.\\Allez, dépêche-toi.\\Allez, dépêche.
Well, well, well. What have we here?|Tiens, tiens, tiens. Qu'est-ce qu'on a là?
I don't hold grudges.|Je ne suis pas rancunier/rancunière.
I'm sure of it!|J'en suis certain(e).
Laisse-moi réfléchir!|Let me think!
Let me think!|Laisse-moi réfléchir!
Get the hell out of here.|Foutez-moi le camp.
Vous avez ma parole.|You have my word.
Do you want some more bread?|Tu veux encore du pain?
I got the time wrong.|Je me suis trompé(e) d'heure.
I got the wrong bus.|Je me suis trompé(e) de bus.\\J'ai pris le mauvais bus.
