Hello|Bonjour
Hello (casual)|Salut
Thank you|Merci
less|moins
between|entre
equally|également
indeed|en effet
country|pays
as the case may be|le cas échéant
rate/level|taux
group|groupe
as/just as/like|ainsi que
will be|sera
company|entreprise
against/next to|contre
last/prior|dernier
other|autre
remainder|le reste
products|les produits (m)
that|cela
profit|le profit, le bénéfice
benefit|(nom) l'avantage, le bénéfice\\~\\(verbe) profiter
rise, increase|hausse
often|souvent
above all, especially|surtout
instead|plutôt
soon|bientôt
quickly|vite
almost|presque
number|le nombre
could|pourrait
should|devrait
would|serait
better|mieux
drop/fall/decrease|baisse
result|le résultat
start, begining|le début, le départ, le commencement
besides, furthermore, moreover, what’s more|d’ailleurs
notably|notamment
however, meanwhile|cependant
as, since, because|car
however, nonetheless|toutefois
according to, in accordance with|selon
seems|semble
strong|fort
fresh/recent/cool|frais
however|pourtant
management, control|gestion
during|pendant
sometimes|parfois
form, shape|la forme
state|l'état
as much as|autant que
medium (size), average|le moyen
way, method|la façon, la manière, le moyen
road|la route, le chemin
street|la rue
path|le chemin
sidewalk|le trottoir
bridge|le pont, la passerelle
choice|le choix, la sélection, l'élection
enough, quite|assez
numerous, many|nombreux
about, close to, around|environ
next, thereafter|ensuite
sense|sens
wallet|la portefeuille
clock|l'horloge (f)
somewhere else|ailleurs
so, so much (i.e., he is {\itshape so} good)|tellement
none|aucun\\i.e., «~Il n'a aucun désir~» = "He doesn't have any desire"
hit, strike|coup
clean|propre
acheive|atteindre
return|revenir
total amount|montant
quickly|rapidement
city|ville
low, bottom|bas
brand|marque
veritable, true|véritable
line|ligne
a long time|longtemps
agreement|concurrence
raise, enhance|élever
sad|triste
in brief, to summarize|En résumé, en bref
It is necessary \dots|Il faut \dots\\ou\\Il est crucial \dots\\ou\\Il est nécessaire \dots
to go|aller à
to attend|assister à
to believe in|croire en
to believe that|croire que
to play a game|jouer à (un jeu)\\~\\\small Diffère de «~jouer de~».
to play an instrument|jouer de (un instrument de musique)\\~\\\small Diffère de «~jouer à~».
to miss someone|manquer à\\~\\\small Diffère de «~manquer de~».
to lack something|manquer de\\~\\\small Diffère de «~manquer à~».
to obey|obéir à
to please|plaire à
to speak to|parler à\\~\\\small Diffère de «~parler de~».
to speak about|parler de\\~\\\small Diffère de «~parler à~».
to answer|répondre à
to resist|résister à
to resemble|ressembler à
to approach|s’approcher de
to rely on|se fier à
to marry|se marier avec
to mistrust|se méfier de
to make fun of|se moquer de
to miss|se manquer de
to remember|se souvenir de
très grand|immense
très beau|magnifique
très bon|délicieux
très intéressant|passionnant
très gros|énorme
très drôle|hilarant
garbage can|la poubelle
garbage|les déchets
plastic bag|le sac pastique
broom|le balai
can|la boîte de conserve
box|le carton
place|le lieu
car|la voitire
dangerous|dangereux/euse
museum|le musée
interesting|intéressant
cheek|la joue
beer|la bière
bottle|la bouteille
glass|le verre
cup|la tasse
Quel est la différence entre "aller", "revenir", et "rentrer"?|Les verbes «~aller~» et «~venir~» signifient respectivement «~to go~» et «~to come~», tandis que le verbe «~revenir~» signifie «~to come back~» vers ou depuis un lieu (c'est-à-dire la répétition d'un voyage). «~Rentrer~» est utilisé pour indiquer le voyage de retour à partir d'une destination.
homework|les devoirs (m)
a new book|un nouveau livre
some new books|des nouveaux livres
a new house|une nouvelle maison
these new houses|ces nouvelles maisons
a handsome man|un beau homme
two handsome men|deux beaux hommes
two beautiful houses|deux belles maisons
a beautiful woman|une belle femme
two beautiful women|deux belles femmes
the old man|le vieux homme
old books|les vieux livres
the old town|la vieille ville
the old cities|les vieilles villes
the big museum|le grand musée
the big swimming pool|la grande piscine
When does the adjective precede the noun in French?|B.A.G.S. --- beauty, age (nouveau, vieux, etc.), goodness (bon, mauvais, etc.), size
to lie down|se coucher
to wake up|se reveiller
to sit down|s'asseoir
to shower|se doucher
to correct|corriger
to make a mistake|se tromper\\~\\Attention! Ce n'est pas le meme chose comme <<se tremper>>.
to get wet/soaked|se tremper\\~\\Attention! Ce n'est pas le meme chose comme <<se tromper>>.
dating sites|les sites de rencontrer
self-esteem|amour-propre
bretteux, bretteuse (nom et adjectif)|a person who always finds a way to be late and can never decide anything
