Que signifie 'fondre' dans le contexte de la neige?|Fondre: La neige fond (to melt). Exemple: La neige fond au printemps.
Comment dit-on 'to faint' en français?|S'évanouir: Elle s'est évanouie à cause de la chaleur.
Quelle est la différence entre 'songe' et 'songer'?|Le songe = le rêve. Songer à faire quelque chose = réfléchir, avoir le projet de faire quelque chose.
Comment dit-on 'rocky' en français?|Rocheux: Un terrain rocheux. Un rocher = a rock.
Que signifie 'être frileux'?|Être frileux: être sensible au froid. Je suis frileux en hiver.
Comment dit-on 'amusement park' en français?|Un parc d'attractions: Nous sommes allés au parc d'attractions hier.
Que signifie 'emmerdeur' (familier)?|Un emmerdeur: une personne qui dérange, qui ennuie (annoying person). Il est vraiment emmerdeur!
Comment dit-on 'without having to' en français?|Sans avoir à = sans devoir. Je peux le faire sans avoir à demander d'aide.
Que signifie 'Faut que je' (familier)?|Faut que je = Il faut que je = I have to. Faut que je parte maintenant.
Comment dit-on 'beggar' en français?|Les mendiants: mendier (to beg). Il y a des mendiants dans la rue.
Que signifie 'galérer'?|Galérer = avoir des difficultés. Être en galère. Je galère avec mes devoirs.
Que signifie 'ça file droit'?|Ça file droit: ça va très vite, directement. La voiture file droit sur l'autoroute.
Comment dit-on 'educated/cultured' en français?|Cultivé: C'est une personne très cultivée en littérature.
Que signifie 'conscient'?|Conscient: aware. Je suis conscient du problème.
Quelle est la forme correcte: 'présompteux' ou 'présomptueux'?|Présomptueux (correct): Il est très présomptueux de croire ça.
Comment dit-on 'acceptable' en français?|Recevable: Une excuse recevable, un argument recevable.
Que signifie 'encadrement'?|Un encadrement: supervision, management, ou un cadre. L'encadrement des étudiants est important.
Comment dit-on 'ashes' en français?|Les cendres (féminin): incinérer. Les cendres de ses grands-parents.
Que signifie 'déformation professionnelle'?|Une déformation professionnelle: habitude liée au métier. C'est une déformation professionnelle chez lui.
Quels sont les pluriels de 'égal' et 'loyal'?|Égal → égaux, loyal → loyaux. Ils sont égaux devant la loi.
Comment dit-on 'earplug' en français?|Boule Quies/les bouchons d'oreille: J'utilise des boules Quies pour dormir.
Comment dit-on 'fan' (ventilateur) familièrement?|Un ventilo: Allume le ventilo, il fait chaud.
Que signifie 'abîmer'?|Abîmer: endommager, détériorer. Ne pas abîmer les livres.
Comment dit-on 'lampshade' en français?|Un abat-jour: L'abat-jour de la lampe est cassé.
Comment dit-on 'muscle strain' en français?|Une élongation: J'ai une élongation au mollet.
Comment dit-on 'pulled muscle' en français?|Un claquage: Il a eu un claquage pendant le match.
Que signifie 'courbature'?|La courbature: muscle soreness. Avoir des courbatures aux jambes après le sport.
Correction: 'Malgré que' vs 'Bien que'|'Bien que' est correct (+ subjonctif). 'Malgré que' est une erreur acceptée. Bien qu'il soit parti...
Correction: 'Si j'aurais'|Erreur: 'Si j'aurais su'. Correct: 'Si j'avais su'. Ne jamais utiliser le conditionnel après 'si'.
Correction: 'Après que' + subjonctif|Erreur 'normale': après que + subjonctif. Correct: après que + indicatif. Après qu'il est parti (non *soit parti).
Comment dit-on 'harassment' en français?|Le harcèlement: Le harcèlement scolaire est un problème grave.
Comment dit-on 'swamp' en français?|Un marais, un marécage: marécageux. La région est marécageuse.
Comment dit-on 'mud' en français?|De la boue: Mes chaussures sont couvertes de boue.
Comment dit-on 'peat' en français?|De la tourbe: La tourbe est utilisée comme combustible.
Règle: 'Je pense que' vs 'Je ne pense pas que'|'Je pense que' + indicatif. 'Je ne pense pas que' + subjonctif. Je ne pense pas qu'il vienne.
Que signifie 'surfait'?|Surfait: overrated. Ce film est complètement surfait.
Comment dit-on 'to make heavier' en français?|Alourdir: Cette modification va alourdir le texte.
Comment dit-on 'thermal insulation' en français?|L'isolation thermique: L'isolation thermique de la maison est importante.
Comment dit-on 'attic' en français?|Un grenier: Nous stockons les vieux objets au grenier.
Comment dit-on 'rot' en français?|La pourriture: Il faut éviter la pourriture du bois.
Comment dit-on 'coating/covering' en français?|Un revêtement: Le revêtement du sol est neuf.
Que signifie 'perméable'?|Perméable: qui laisse passer. Cette membrane est perméable à l'eau.
Comment dit-on 'by oneself' en français?|Par soi-même/tout seul: Je l'ai fait par moi-même.
Comment dit-on 'switch' (électrique) en français?|Un interrupteur: Appuie sur l'interrupteur pour allumer.
Comment dit-on 'waffle' en français?|Une gaufre: J'adore les gaufres au petit-déjeuner.
Que signifie 'la volonté'?|La volonté: will, willpower. Il a la volonté de réussir.
