Qu'est-ce que 'le songe' signifie?|le songe = le rêve
Comment dit-on 'to think about doing something' en français?|songer à faire quelque chose = réfléchir, avoir le projet, l'idée de faire quelque chose
Comment dit-on 'celui-ci' de manière familière?|çui-ci
Qu'est-ce qu'un terrain rocheux?|rocheux - un rocher (rocky - a rock)
Comment dit-on 'fine sand'?|le sable fin
Comment dit-on 'to be sensitive to cold'?|être frileux
Comment dit-on 'amusement park'?|un parc d'attraction
Comment dit-on 'a pain in the ass' (familier)?|un emmerdeur
Expression pour 'to push from the platform'?|pousser du quai
Comment dit-on 'I have things to do'?|J'ai à faire
Que signifie 'sans avoir à'?|sans avoir à = sans devoir (without having to)
Expression familière pour 'I have to'?|Faut que je = I have to
Expression pour 'anything at all'?|quoi que ce soit
Alternative à 'que ce soit... ou'?|soit... ou
Qu'est-ce qu'une 'boule Quiès'?|les bouchons d'oreille (earplugs)
Comment dit-on 'I'm afraid I won't hear the alarm'?|J'ai peur de pas entendre l'alarme
Comment dit-on 'passenger'?|un passager
Comment dit-on 'on foot'?|à pied
Qu'est-ce que les mendiants font?|les mendiants mendient (beggars beg)
Qu'est-ce qu'un 'mot transparent'?|un mot transparent (a word that looks similar in both languages)
En musique, qu'est-ce qu'une partition?|une partition (sheet music)
Que signifie 'galérer'?|galérer = avoir des difficultés (to struggle/have difficulties)
Expression pour 'être en difficulté'?|être en galère
Que signifie 'ça file droit'?|ça va directement/rapidement (it goes straight/quickly)
Comment dit-on 'there are two schools of thought'?|il y a deux écoles
Qu'est-ce qu'un 'weeb' en français?|un weeb (quelqu'un obsédé par la culture japonaise)
Comment dit-on 'cultured/educated'?|cultivé
Comment dit-on 'aware/conscious'?|conscient
Qu'est-ce que la 'capitalisation'?|capitalisation (capitalization)
Mot très long pour 'institutionalization'?|institutionalisation
Comment dit-on 'locksmith'?|serrurier - serrurerie (locksmith - locksmith shop)
Comment dit-on 'to lock/unlock'?|(dé)verrouiller
Correction de 'présompteux'?|présomptueux (presumptuous)
Qu'est-ce qu'une excuse ou argument 'recevable'?|recevable = acceptable (une excuse recevable, un argument recevable)
Comment dit-on 'selfish'?|égoïste
Qu'est-ce qu'un 'encadrement'?|un encadrement (framework/supervision)
Comment appelle-t-on ALS en français?|la maladie de Charcot
Comment dit-on 'ashes' (après crémation)?|les cendres (féminin)
Comment dit-on 'to cremate'?|incinérer
Comment dit-on 'depressed' (adj.)?|dépressif
Pluriel de 'égal'?|égaux
Qu'est-ce qu'une 'déformation professionnelle'?|une déformation professionnelle (occupational hazard/professional bias)
Pluriel de 'loyal'?|loyaux
Qu'est-ce qu'un 'ventilo'?|un ventilo = un ventilateur (fan)
Comment dit-on 'smell' (nom)?|l'odeur (f) / une odeur
Comment dit-on 'curtain'?|un rideau
Comment dit-on 'to damage'?|abîmer
Expression pour 'c'est nul' (très familier)?|c'est éclaté au sol / nul à chier
