Hello|Bonjour
Hello (casual)|Salut
Thank you|Merci
less|moins
between|entre
equally|également
indeed|en effet
country|pays
as the case may be|le cas échéant
rate/level|taux
group|groupe
as/just as/like|ainsi que
will be|sera
company|entreprise
against/next to|contre
last/prior|dernier
other|autre
remainder|le reste
products|les produits (m)
that|cela
profit|le profit, le bénéfice
benefit|(nom) l'avantage, le bénéfice\\~\\(verbe) profiter
rise, increase|hausse
often|souvent
above all, especially|surtout
instead|plutôt
soon|bientôt, tantôt
quickly|vite
almost|presque
number|le nombre
when|quand, lorsque
at the time of, during|lors de, au moment de, pendant
could|pourrait
should|devrait
would|serait
better|mieux
drop/fall/decrease|baisse
result|le résultat
start, begining|le début, le départ, le commencement
besides, furthermore, moreover, what’s more|d’ailleurs
